"ID";"Gestartet am";"Zuletzt aktualisiert am";"Status";"Collector";"Sprache";"IP-Adresse";"Gerät";"What is your age?";"What is your gender?";"How confident are you in your English proficiency?";"How often do you play video games?";"Which of the following genres of Video Games do you play normally?";"Role-Playing Games";"First-Person Shooter";"Third-Person Shooter";"Massively Multiplayer Online Games (MMO)";"Multiplayer Online Battle Arena (MOBA)";"Real Time Strategy Games (RTS)";"Horror";"Point-and-Click Adventure";"Visual Novel";"Gacha";"Simulator";"Other";"Core Module";"1 I felt content";"2 I felt skilful";"3 I was interested in the game's story";"4 I thought it was fun";"5 I was fully occupied with the game";"6 I felt happy";"7 It gave me a bad mood";"8 I thought about other things";"9 I found it tiresome";"10 I felt competent";"11 I thought it was hard";"12 It was aesthetically pleasing";"13 I forgot everything around me";"14 I felt good";"15 I was good at it";"16 I felt bored";"17 I felt successful";"18 I felt imaginative";"19 I felt that I could explore things";"20 I enjoyed it";"21 I was fast at reaching the game's targets";"22 I felt annoyed";"23 I felt pressured";"24 I felt irritable";"25 I lost track of time";"26 I felt challenged";"27 I found it impressive";"28 I was deeply concentrated in the game";"29 I felt frustrated";"30 It felt like a rich experience";"31 I lost connection with the outside world";"32 I felt time pressure";"33 I had to put a lot of effort into it";"Social Presence Module";"1 I empathized with the others";"2 My actions depended on the others actions";"3 The others' actions were dependent on my actions";"4 I felt connected to the others";"5 The others paid close attention to me";"6 I paid close attention to the others";"7 I felt jealous about the others";"8 I found it enjoyable to be with the others";"9 When I was happy, the others were happy";"10 When the others were happy, I was happy";"11 I influenced the mood of the others";"12 I was influenced by the others moods";"13 I admired the others";"14 What the others did affected what I did";"15 What I did affected what the others did";"16 I felt revengeful";"17 I felt schadenfreude (malicious delight)";"Post-Game Module";"1 I felt revived";"2 I felt bad";"3 I found it hard to get back to reality";"4 I felt guilty";"5 It felt like a victory";"6 I found it a waste of time";"7 I felt energised";"8 I felt satisfied";"9 I felt disoriented";"10 I felt exhausted";"11 I felt that I could have done more useful things";"12 I felt powerful";"13 I felt weary";"14 I felt regret";"15 I felt ashamed";"16 I felt proud";"17 I had a sense that I had returned from a journey";"How long did you play ""Finding Liv""?";"Using the game's input-method was...";"Getting the characters to understand my inputs was...";"Gameplay Experience";"I felt the phrasing of my inputs mattered";"Writing the questions myself influenced the way I treated the characters";"The characters responses to my inputs felt natural";"The characters responses to my inputs felt adequate";"Getting responses to questions I wrote myself affected my opinion of the characters";"The game would have been a better experience with a conventional dialogue tree";"Other games could become a better experience by using this input-method";"Writing the questions myself felt tedious";"The input-method distracted from the game's writing";"Do you have any further comments?"
"112650964";"07/03/2025 14:10:21";"07/03/2025 14:29:34";"Abgeschlossen";"Post-Game Link";"-";"Anonym";"Anonym";"40 =<";"Female";"4";"3";"";"x";"";"";"";"";"";"";"x";"x";"";"x";"";"";"4";"4";"4";"5";"4";"3";"3";"1";"2";"3";"3";"4";"3";"3";"4";"1";"5";"3";"3";"4";"5";"2";"1";"2";"4";"4";"3";"4";"2";"3";"3";"1";"2";"";"3";"5";"3";"4";"4";"4";"1";"2";"3";"4";"4";"4";"1";"3";"4";"1";"1";"";"2";"1";"1";"1";"5";"1";"4";"5";"2";"2";"1";"3";"1";"1";"1";"4";"3";"60";"2";"3";"";"4";"3";"4";"3";"2";"2";"3";"3";"1";""
"112545824";"05/03/2025 18:54:39";"05/03/2025 19:12:56";"Abgeschlossen";"Game-Menu Link";"-";"Anonym";"Anonym";"25 - 29";"Male";"5";"5";"";"x";"x";"x";"x";"";"";"";"";"";"x";"x";"";"";"3";"3";"4";"5";"5";"2";"2";"1";"2";"3";"1";"4";"3";"4";"2";"1";"4";"2";"1";"4";"2";"3";"1";"2";"1";"1";"3";"4";"2";"3";"2";"1";"1";"";"3";"5";"5";"2";"3";"5";"2";"1";"1";"2";"3";"3";"1";"2";"1";"1";"1";"";"1";"1";"1";"1";"3";"1";"2";"2";"1";"1";"1";"1";"1";"1";"1";"3";"1";"30 - 60";"1";"3";"";"5";"4";"4";"5";"3";"2";"5";"1";"1";""
"112545593";"05/03/2025 18:47:51";"05/03/2025 19:07:19";"Abgeschlossen";"Post-Game Link";"-";"Anonym";"Anonym";"20 - 24";"Male";"5";"5";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"3";"2";"1";"4";"3";"4";"1";"3";"2";"3";"2";"2";"2";"3";"2";"1";"3";"4";"2";"4";"3";"3";"1";"1";"2";"2";"2";"3";"2";"1";"1";"1";"2";"";"2";"3";"2";"1";"2";"3";"1";"3";"1";"2";"1";"2";"1";"2";"1";"1";"1";"";"1";"1";"1";"2";"2";"1";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"30 - 60";"4";"5";"";"2";"2";"2";"2";"3";"3";"3";"2";"2";"the buggy nature of the input system made it hard to interact with naturally, an improved system would be a better experience than a dialog tree"
"112502670";"05/03/2025 02:11:18";"05/03/2025 02:36:13";"Abgeschlossen";"Post-Game Link";"-";"Anonym";"Anonym";"30 - 34";"Male";"3";"5";"";"x";"x";"";"";"";"";"x";"";"";"";"x";"Plateform / Adress / Souls like / Puzzle";"";"3";"2";"3";"3";"4";"3";"1";"2";"2";"2";"2";"4";"4";"3";"2";"3";"1";"1";"1";"3";"2";"2";"1";"2";"5";"3";"3";"4";"4";"2";"4";"1";"3";"";"2";"4";"3";"3";"3";"3";"1";"3";"";"4";"4";"4";"1";"3";"";"4";"3";"";"3";"1";"1";"2";"4";"2";"4";"3";"1";"1";"2";"1";"2";"1";"1";"3";"1";"30 - 60";"1";"3";"";"3";"4";"2";"2";"4";"2";"3";"3";"2";"In a lot of situation the characters did not understand what i was trying to say and that forced me to use the dictionary to find out what i can ask people about in order to progress. I think that impacted negativly my experience with the game."
"112500669";"05/03/2025 00:00:08";"05/03/2025 00:22:55";"Abgeschlossen";"Game-Menu Link";"-";"Anonym";"Anonym";"25 - 29";"Male";"5";"5";"";"x";"x";"x";"x";"x";"x";"x";"x";"";"x";"";"";"";"3";"2";"3";"2";"4";"3";"4";"2";"5";"2";"5";"3";"2";"1";"1";"2";"1";"1";"3";"2";"1";"3";"2";"1";"1";"5";"4";"2";"4";"3";"1";"2";"5";"";"1";"5";"2";"1";"1";"4";"1";"2";"1";"2";"3";"2";"1";"5";"2";"2";"1";"";"1";"2";"1";"1";"1";"2";"1";"1";"3";"3";"3";"1";"2";"2";"1";"1";"1";"30 - 60";"4";"5";"";"3";"4";"1";"2";"3";"2";"5";"1";"1";"While there might be some contradicting statements in my evaluation i want to at least adress some aspects:
In my opinion many games could benfit from implementing this input-method. The Method itself however needs to be further developed to be enjoyable. 
Since the System reacted to key words pretty harshly one example which dissatisfied me was ""can i talk to Frank?"" to which the answer was ""I live here with my husband Frank and our two kids"". 
In my Opinion ""User Error Tolerance"" and ""Controllability"" needs to be enhanced further to offer a well-rounded Product."
"112327741";"01/03/2025 19:33:19";"01/03/2025 19:54:57";"Abgeschlossen";"Post-Game Link";"-";"Anonym";"Anonym";"20 - 24";"Female";"5";"5";"";"x";"";"";"x";"";"";"x";"x";"";"";"";"";"";"3";"2";"4";"5";"3";"3";"1";"1";"1";"4";"2";"5";"1";"3";"4";"1";"3";"2";"5";"4";"1";"1";"1";"1";"2";"4";"3";"3";"2";"3";"1";"1";"2";"";"4";"1";"3";"5";"2";"3";"1";"2";"3";"3";"4";"2";"3";"5";"3";"1";"1";"";"3";"1";"1";"1";"4";"1";"3";"4";"1";"3";"2";"3";"1";"2";"1";"5";"2";"60";"4";"3";"";"5";"3";"4";"4";"1";"3";"3";"2";"1";""
"112267559";"28/02/2025 19:54:30";"07/03/2025 12:50:41";"Abgeschlossen";"Game-Menu Link";"-";"Anonym";"Anonym";"40 =<";"Male";"4";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"2";"4";"3";"2";"2";"4";"1";"3";"1";"3";"4";"3";"4";"2";"3";"2";"4";"4";"3";"1";"3";"2";"3";"2";"4";"4";"4";"4";"3";"1";"2";"4";"";"3";"3";"3";"4";"2";"3";"1";"1";"3";"4";"3";"3";"2";"2";"3";"1";"1";"";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"4";"1";"1";"1";"1";"1";"2";"15 - 30";"1";"2";"";"3";"4";"3";"3";"4";"1";"4";"2";"1";""
"112021650";"27/02/2025 12:25:40";"27/02/2025 12:33:49";"Abgeschlossen";"Game-Menu Link";"-";"Anonym";"Anonym";"20 - 24";"Female";"5";"5";"";"";"";"";"";"";"";"x";"";"";"";"x";"";"";"4";"3";"5";"4";"2";"4";"3";"3";"2";"3";"4";"5";"1";"3";"2";"2";"1";"3";"2";"3";"1";"2";"1";"1";"2";"4";"1";"1";"1";"2";"1";"1";"3";"";"2";"2";"2";"2";"1";"2";"1";"2";"3";"3";"3";"1";"1";"1";"3";"1";"1";"";"1";"1";"1";"1";"1";"1";"3";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"15 - 30";"2";"4";"";"5";"3";"2";"4";"5";"1";"4";"1";"2";""
"111943786";"26/02/2025 18:41:06";"26/02/2025 19:07:39";"Abgeschlossen";"Post-Game Link";"-";"Anonym";"Anonym";"30 - 34";"Male";"3";"5";"";"x";"x";"";"x";"";"x";"x";"";"";"";"";"";"";"4";"3";"2";"3";"4";"3";"2";"2";"3";"3";"4";"4";"2";"3";"1";"3";"3";"2";"3";"4";"3";"2";"2";"3";"2";"4";"3";"4";"2";"3";"2";"1";"3";"";"4";"4";"2";"3";"4";"4";"2";"3";"2";"3";"4";"4";"2";"4";"2";"1";"2";"";"2";"3";"2";"2";"4";"2";"3";"5";"1";"2";"2";"1";"1";"1";"1";"2";"2";"30 - 60";"4";"4";"";"2";"2";"2";"3";"2";"3";"3";"4";"2";""
"111943479";"26/02/2025 18:35:16";"26/02/2025 18:52:36";"Abgeschlossen";"Game-Menu Link";"-";"Anonym";"Anonym";"25 - 29";"Non-Binary";"5";"5";"";"x";"x";"x";"x";"";"";"x";"x";"x";"";"x";"";"";"3";"2";"4";"2";"2";"2";"3";"4";"5";"2";"4";"2";"1";"2";"2";"3";"1";"2";"1";"2";"1";"5";"4";"3";"1";"2";"2";"3";"5";"2";"1";"1";"4";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"1";"5";"1";"1";"1";"4";"1";"1";"1";"5";"4";"1";"4";"4";"1";"1";"1";"30 - 60";"1";"4";"";"2";"1";"2";"3";"4";"5";"2";"5";"1";"The general concept would probalby work a lot better, with a bigger catalogue of possible phrases. The characters did often not understand simple sentences, which made it quite frustrating at times.
Also locking the player out of solving the mystery, because some clues hadn't been collected, made it feel punishing to think for yourself instead of relying on the notebook."
"111894712";"26/02/2025 06:59:17";"26/02/2025 10:13:27";"Abgeschlossen";"Post-Game Link";"-";"Anonym";"Anonym";"20 - 24";"Male";"5";"5";"";"x";"";"";"";"";"";"";"";"x";"x";"";"";"";"5";"4";"4";"4";"4";"4";"1";"4";"1";"4";"2";"3";"1";"4";"3";"2";"4";"2";"3";"4";"2";"1";"1";"1";"2";"3";"3";"2";"1";"3";"1";"1";"2";"";"2";"3";"2";"2";"2";"3";"2";"2";"1";"1";"3";"3";"2";"2";"2";"1";"1";"";"2";"1";"1";"1";"4";"1";"2";"4";"1";"1";"1";"2";"1";"1";"1";"3";"2";"30 - 60";"2";"4";"";"2";"1";"4";"4";"2";"1";"5";"1";"1";"At first it was a challenge to understand how the game would prefer me to construct the sentences but intuitive when using more conventional language. It also feels like such a system would be a great addition in a game with vendors, given the possibility of a notoriety level. Overall great experience and adds an interesting layer of interactivity in the videogame medium."
"111894376";"26/02/2025 06:48:50";"26/02/2025 06:58:29";"Abgeschlossen";"Post-Game Link";"-";"Anonym";"Anonym";"30 - 34";"Male";"4";"5";"";"x";"x";"x";"x";"";"";"x";"";"";"";"";"";"";"3";"1";"4";"3";"";"3";"1";"2";"2";"2";"3";"4";"1";"3";"1";"1";"2";"4";"3";"3";"1";"3";"1";"1";"2";"1";"2";"3";"2";"2";"1";"1";"3";"";"2";"2";"5";"2";"3";"4";"1";"2";"3";"2";"3";"2";"1";"2";"5";"1";"1";"";"1";"1";"1";"1";"3";"";"2";"4";"1";"3";"1";"1";"1";"1";"1";"2";"1";"60";"1";"4";"";"2";"3";"3";"3";"2";"1";"2";"1";"1";"as a prototype it works perfectly well, my only wish is that there was a little more repercussion from mean questions (either good or bad)."
"111882456";"26/02/2025 01:15:59";"26/02/2025 01:30:10";"Abgeschlossen";"Post-Game Link";"-";"Anonym";"Anonym";"25 - 29";"Female";"5";"5";"";"x";"";"";"";"x";"";"";"";"x";"x";"x";"";"";"5";"4";"5";"5";"5";"5";"2";"3";"2";"2";"3";"4";"3";"5";"3";"2";"4";"5";"5";"5";"4";"1";"1";"1";"4";"5";"5";"4";"1";"4";"5";"1";"3";"";"4";"5";"3";"4";"4";"5";"2";"5";"5";"5";"3";"5";"3";"2";"3";"1";"2";"";"3";"1";"1";"1";"5";"1";"4";"4";"3";"1";"2";"3";"1";"1";"1";"4";"4";"60";"1";"3";"";"4";"5";"4";"5";"5";"1";"4";"1";"1";"Bingus"
"111879242";"26/02/2025 00:14:51";"26/02/2025 00:33:36";"Abgeschlossen";"Post-Game Link";"-";"Anonym";"Anonym";"25 - 29";"Male";"5";"4";"";"x";"";"";"x";"";"";"";"x";"x";"";"";"";"";"2";"1";"3";"4";"2";"1";"1";"1";"2";"1";"2";"4";"2";"";"1";"1";"1";"2";"2";"4";"2";"3";"1";"4";"2";"2";"1";"2";"4";"2";"1";"1";"2";"";"3";"4";"3";"2";"4";"3";"1";"3";"2";"3";"2";"1";"1";"4";"2";"1";"1";"";"1";"2";"1";"1";"1";"1";"";"2";"4";"2";"2";"1";"2";"1";"1";"2";"1";"30 - 60";"2";"4";"";"2";"1";"3";"3";"2";"1";"2";"1";"1";""
"111867547";"25/02/2025 21:14:29";"25/02/2025 21:29:04";"Abgeschlossen";"Post-Game Link";"-";"Anonym";"Anonym";"25 - 29";"Male";"5";"5";"";"x";"";"";"";"";"x";"";"x";"x";"";"x";"Rougelikes";"";"4";"3";"5";"5";"3";"4";"1";"2";"1";"4";"3";"5";"2";"4";"3";"1";"5";"5";"5";"5";"3";"1";"1";"1";"1";"3";"4";"4";"1";"4";"2";"1";"1";"";"5";"5";"4";"5";"4";"4";"1";"4";"5";"5";"4";"4";"1";"5";"5";"1";"1";"";"4";"1";"1";"1";"4";"1";"3";"5";"1";"1";"1";"2";"1";"1";"1";"4";"2";"60";"1";"2";"";"5";"4";"3";"4";"5";"1";"4";"1";"1";"Very cute game, a few hickups here and there. Accidently left a few times without saying goodbye. The help option was a bit unsure."
